Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Middle East & North Africa (IDA & IBRD countries),TMN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1.77468904665542,1.86304739396299,1.81272382702623,1.78015989972968,2.23134791508229,2.34407670079132,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,5.46105624010028,5.40166765067227,5.41746477939921,5.69939095129242,4.79805317218544,4.41980163361723,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,66.7361541812261,64.1764723868711,63.4839371540491,59.7758280622896,62.9912191642993,67.1259540459607,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0.0503318322724635,0.273180557157102,0.647978773654504,0.610385850027403,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,23.5281152270601,26.1009799926697,26.8172493450909,28.9381105647465,25.103892459848,20.5246422291877,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,92.0389584549416,92.1404997735038,92.1139103261662,90.4940985267657,90.3264595392296,89.9946729759397,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.425204042910221,0.430975933831492,0.394166856970048,0.545921404112792,0.622397020600393,0.674347186298772,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,2688000000,2800000000,2665000000,3830000000,4560000000,5056000000,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,5.8874904079679,5.83388499730582,5.81175422377858,6.24678322386196,5.40706618297661,5.09551590864519,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,Time required to get electricity (days),IC.ELC.TIME,81.6363636363636,76.6363636363636,86.3333333333333,88.1666666666667,90.9166666666667,86.9090909090909,85,85,75.8181818181818,74.6363636363636
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 09/16/2020,,,,,,,,,,,,,
