created_at,stage
6/28/2015 22:00:52,0
6/28/2015 8:02:37,2
6/27/2015 22:01:31,0
6/27/2015 17:02:03,2
6/26/2015 22:02:13,0
6/26/2015 16:24:50,2
6/25/2015 22:00:41,0
6/25/2015 16:02:38,2
6/25/2015 15:05:54,1
6/24/2015 22:01:29,0
6/24/2015 16:12:08,1
6/23/2015 22:01:11,0
6/23/2015 16:15:22,1
6/22/2015 22:01:15,0
6/22/2015 16:59:12,2
6/22/2015 16:01:17,1
6/21/2015 21:22:30,0
6/21/2015 17:03:02,1
6/20/2015 21:03:50,0
6/20/2015 18:56:15,2
6/20/2015 18:18:49,3
6/20/2015 17:34:10,2
6/20/2015 17:08:55,1
6/19/2015 21:29:48,0
6/19/2015 17:28:32,1
6/18/2015 22:03:07,0
6/18/2015 16:03:47,1
6/17/2015 22:02:38,0
6/17/2015 17:45:00,1
6/14/2015 21:57:19,0
6/14/2015 17:02:17,1
6/12/2015 22:02:11,0
6/12/2015 8:23:05,2
6/12/2015 6:19:18,1
6/11/2015 21:52:38,0
6/11/2015 16:20:05,2
6/11/2015 9:40:46,1
6/10/2015 21:56:40,0
6/10/2015 16:16:31,2
6/10/2015 16:11:53,1
6/9/2015 21:20:16,0
6/9/2015 16:59:59,1
6/8/2015 21:38:27,0
6/8/2015 17:58:47,2
6/8/2015 17:01:04,1
6/7/2015 21:34:35,0
6/7/2015 17:01:28,1
5/27/2015 20:50:23,0
5/27/2015 17:00:50,1
5/26/2015 22:03:26,0
5/26/2015 17:01:00,1
5/25/2015 21:47:34,0
5/25/2015 17:44:32,1
5/24/2015 20:19:57,0
5/24/2015 7:00:46,1
5/23/2015 21:50:58,0
5/23/2015 7:03:23,2
5/22/2015 21:53:43,0
5/22/2015 12:01:53,2
5/22/2015 6:32:56,1
5/21/2015 22:01:01,0
5/21/2015 14:11:07,2
5/21/2015 8:01:42,1
5/20/2015 22:00:27,0
5/20/2015 17:01:13,2
5/20/2015 16:01:34,1
5/19/2015 23:31:04,0
5/19/2015 23:19:45,1
5/19/2015 22:00:29,0
5/19/2015 17:04:39,2
5/19/2015 16:03:02,1
5/18/2015 22:02:09,0
5/18/2015 17:03:24,2
5/18/2015 16:08:21,1
5/17/2015 21:47:08,0
5/17/2015 12:03:43,1
5/17/2015 7:04:26,2
5/16/2015 21:40:48,0
5/16/2015 8:19:03,1
5/15/2015 22:03:50,0
5/15/2015 17:02:46,1
5/14/2015 22:01:17,0
5/14/2015 17:06:11,2
5/14/2015 16:07:27,1
5/13/2015 21:47:12,0
5/13/2015 16:18:12,1
